frame_number,subframe_number,time_cpu_cycles,guide_freq,vme_guide_freq,coarse_freq,runner_up_freq,fine_freq,tracked_freq,coarse_peak_mag,runner_up_peak_mag,fine_peak_mag,tracked_peak_mag,signal_power,competition_ratio,guide_vme_gap_hz,coarse_fine_gap_hz,tracked_fine_gap_hz,vme_last_rel_err,estimate_seq,inter_frame_proc_time_usec,inter_frame_proc_margin_usec,tx_write_time_usec,tx_overwrite_count,vme_iterations,track_selected,step_limited,valid
597,0,451659318,1.3819096088409424,1.4000002145767212,1.4020100831985474,1.3718593120574951,1.4000616073608398,1.4000616073608398,13.661273002624512,4.301138877868652,13.749689102172852,13.749689102172852,0.0006875111721456051,0.31484174728393555,0.01809060573577881,0.0019484758377075195,0.0,2.9720602867655543e-08,20,5196,31485,2131,0,3,1,0,1
607,0,551665365,1.3768844604492188,1.4000000953674316,1.4020100831985474,1.3718593120574951,1.4003623723983765,1.4003623723983765,7.401713848114014,2.240083694458008,7.430970191955566,7.430970191955566,0.0003715147904586047,0.30264392495155334,0.02311563491821289,0.0016477108001708984,0.0,2.8723077249992457e-08,21,5135,31536,2131,0,4,1,0,1
617,0,651701388,1.266331672668457,1.2500001192092896,1.2512562274932861,1.2814069986343384,1.3853623867034912,1.2803623676300049,21.8770809173584,4.746791839599609,21.926483154296875,5.3449201583862305,0.001096314750611782,0.21697555482387543,0.01633155345916748,0.13410615921020508,0.10500001907348633,3.0546651430540805e-08,22,5512,31164,2131,0,3,0,1,1
627,0,751684590,1.2763819694519043,1.3000001907348633,1.3015074729919434,1.3316582441329956,1.370362401008606,1.2996480464935303,15.651851654052734,3.23478102684021,15.718740463256836,15.718740463256836,0.000785852549597621,0.2066708207130432,0.023618221282958984,0.0688549280166626,0.07071435451507568,3.7028797805760405e-08,23,5245,31470,2131,0,4,1,1,1
637,0,851651915,1.2763819694519043,1.2999998331069946,1.3015074729919434,1.3316582441329956,1.3553624153137207,1.3002872467041016,13.254949569702148,2.8576838970184326,13.282829284667969,13.282829284667969,0.0006640974315814674,0.21559372544288635,0.023617863655090332,0.053854942321777344,0.05507516860961914,1.0099845582089984e-07,24,5106,31653,2131,0,4,1,1,1
647,0,951607997,1.2763819694519043,1.3000000715255737,1.3015074729919434,1.3316582441329956,1.3403624296188354,1.30032479763031,13.32065200805664,2.8481462001800537,13.35317611694336,13.35317611694336,0.0006676778430119157,0.21381431818008423,0.023618102073669434,0.03885495662689209,0.04003763198852539,1.2722820486033015e-07,25,4937,31577,2131,0,4,1,1,1
657,0,1051539324,1.2713568210601807,1.25,1.2512562274932861,1.2814069986343384,1.3253624439239502,1.2498360872268677,20.991174697875977,4.527347564697266,21.044822692871094,21.044822692871094,0.0010522102238610387,0.2156786173582077,0.021356821060180664,0.07410621643066406,0.07552635669708252,5.026319915835131e-10,26,4809,31655,2131,0,4,1,1,1
667,0,1151546548,1.2713568210601807,1.25,1.2512562274932861,1.2814069986343384,1.310362458229065,1.2504751682281494,23.209035873413086,5.183603286743164,23.235614776611328,23.235614776611328,0.0011616641422733665,0.22334419190883636,0.021356821060180664,0.05910623073577881,0.05988729000091553,8.814233297016472e-05,27,4984,31721,2131,0,3,1,1,1
677,0,1251552394,1.2713568210601807,1.25,1.2512562274932861,1.2814069986343384,1.2953624725341797,1.2499113082885742,21.44878578186035,4.7280755043029785,21.482357025146484,21.482357025146484,0.0010741673177108169,0.22043557465076447,0.021356821060180664,0.044106245040893555,0.04545116424560547,4.5030160156223076e-10,28,4947,31740,2131,0,4,1,1,1
687,0,1351536064,1.2713568210601807,1.25,1.2512562274932861,1.2814069986343384,1.2803624868392944,1.2499489784240723,20.82927703857422,4.432059288024902,20.89447593688965,20.89447593688965,0.0010446873493492603,0.21278028190135956,0.021356821060180664,0.0291062593460083,0.030413508415222168,4.88534657172579e-10,29,4913,31671,2131,0,4,1,1,1
