frame_number,subframe_number,time_cpu_cycles,heart_rate_bpm,heart_rate_hz,confidence,sample_rate_hz,range_meters,selected_range_bin,window_length,valid
2120,0,1831793920,80.99102783203125,1.3498504161834717,8755.31640625,10.0,0.5668795108795166,13,200,1
2130,0,1931805571,81.0030517578125,1.350050926208496,8515.5703125,10.0,0.5668795108795166,13,200,1
2140,0,2031917779,81.0030517578125,1.350050926208496,5045.77490234375,10.0,0.5668795108795166,13,200,1
2150,0,2131821042,81.0030517578125,1.350050926208496,5123.10498046875,10.0,0.5668795108795166,13,200,1
2160,0,2231809200,81.0030517578125,1.350050926208496,5382.8427734375,10.0,0.5668795108795166,13,200,1
2170,0,2331743649,80.4030532836914,1.3400509357452393,9132.3154296875,10.0,0.5668795108795166,13,200,1
2180,0,2431747580,80.4030532836914,1.3400509357452393,6997.3017578125,10.0,0.5668795108795166,13,200,1
2190,0,2531718150,80.4030532836914,1.3400509357452393,6916.0859375,10.0,0.5668795108795166,13,200,1
2200,0,2631770244,80.4030532836914,1.3400509357452393,6811.11474609375,10.0,0.5668795108795166,13,200,1
2210,0,2731740446,79.80305480957031,1.3300509452819824,7687.388671875,10.0,0.5668795108795166,13,200,1
2220,0,2831752289,79.80305480957031,1.3300509452819824,8320.5419921875,10.0,0.5668795108795166,13,200,1
2230,0,2931777820,79.20305633544922,1.3200509548187256,7490.50341796875,10.0,0.5668795108795166,13,200,1
2240,0,3031773162,78.60305786132812,1.3100509643554688,7632.56396484375,10.0,0.5668795108795166,13,200,1
2250,0,3131771936,78.00305938720703,1.300050973892212,8629.626953125,10.0,0.5668795108795166,13,200,1
2260,0,3231717927,78.01509094238281,1.3002514839172363,8839.2412109375,10.0,0.5668795108795166,13,200,1
2270,0,3331742391,78.0271224975586,1.3004519939422607,9551.7568359375,10.0,0.5668795108795166,13,200,1
2280,0,3431740122,78.0271224975586,1.3004519939422607,7666.53662109375,10.0,0.5668795108795166,13,200,1
2290,0,3531714210,78.0271224975586,1.3004519939422607,8596.494140625,10.0,0.5668795108795166,13,200,1
2300,0,3631707531,78.0271224975586,1.3004519939422607,8636.12109375,10.0,0.5668795108795166,13,200,1
2310,0,3731705561,77.4271240234375,1.290452003479004,9023.6005859375,10.0,0.5668795108795166,13,200,1
2320,0,3831803756,76.82711791992188,1.280452013015747,9700.2294921875,10.0,0.5668795108795166,13,200,1
2330,0,3931711626,76.22711944580078,1.2704520225524902,8906.2060546875,10.0,0.5668795108795166,13,200,1
2340,0,4031684986,75.62712097167969,1.2604520320892334,9808.53125,10.0,0.5668795108795166,13,200,1
2350,0,4131652732,75.0271224975586,1.2504520416259766,8614.1669921875,10.0,0.5668795108795166,13,200,1
2360,0,4231789468,75.01509094238281,1.2502515316009521,8321.484375,10.0,0.5668795108795166,13,200,1
2370,0,36739450,75.0271224975586,1.2504520416259766,7922.8681640625,10.0,0.5668795108795166,13,200,1
2380,0,136750496,75.0271224975586,1.2504520416259766,4772.16162109375,10.0,0.5668795108795166,13,200,1
2390,0,236707167,74.4271240234375,1.2404520511627197,10843.31640625,10.0,0.5668795108795166,13,200,1
2400,0,336781273,73.8271255493164,1.230452060699463,10276.015625,10.0,0.5668795108795166,13,200,1
2410,0,436686840,73.22712707519531,1.220452070236206,9152.779296875,10.0,0.5668795108795166,13,200,1
2420,0,536616663,72.62712097167969,1.2104520797729492,7977.1533203125,10.0,0.5668795108795166,13,200,1
2430,0,636608153,72.0271224975586,1.2004520893096924,7348.404296875,10.0,0.5668795108795166,13,200,1
2440,0,736638094,72.01509094238281,1.200251579284668,8095.994140625,10.0,0.5668795108795166,13,200,1
2450,0,836732857,72.0271224975586,1.2004520893096924,4493.50390625,10.0,0.5668795108795166,13,200,1
2460,0,936710060,71.99103546142578,1.1998505592346191,2933.163818359375,10.0,0.5668795108795166,13,200,1
2470,0,1036621971,71.99103546142578,1.1998505592346191,3792.576904296875,10.0,0.5668795108795166,13,200,1
2480,0,1136642724,71.99103546142578,1.1998505592346191,4014.78662109375,10.0,0.5668795108795166,13,200,1
2490,0,1236655119,71.99103546142578,1.1998505592346191,4281.69580078125,10.0,0.5668795108795166,13,200,1
2500,0,1336747227,71.39103698730469,1.1898505687713623,6881.79736328125,10.0,0.5668795108795166,13,200,1
2510,0,1436721204,71.39103698730469,1.1898505687713623,5660.2890625,10.0,0.5668795108795166,13,200,1
2520,0,1536756046,71.39103698730469,1.1898505687713623,108.09626007080078,10.0,0.5668795108795166,13,200,1
2530,0,1636698508,71.39103698730469,1.1898505687713623,117.2266616821289,10.0,0.5668795108795166,13,200,1
2540,0,1736813991,71.39103698730469,1.1898505687713623,137.3659210205078,10.0,0.5668795108795166,13,200,1
2550,0,1836947590,70.79103088378906,1.1798505783081055,5419.123046875,10.0,0.5668795108795166,13,200,1
2560,0,1936771413,70.79103088378906,1.1798505783081055,180.17498779296875,10.0,0.5668795108795166,13,200,1
2570,0,2036796492,70.79103088378906,1.1798505783081055,34.01592254638672,10.0,0.5668795108795166,13,200,1
2580,0,2136787157,70.79103088378906,1.1798505783081055,180.1052703857422,10.0,0.5668795108795166,13,200,1
2590,0,2236737826,70.79103088378906,1.1798505783081055,170.97341918945312,10.0,0.5668795108795166,13,200,1
2600,0,2336813869,70.79103088378906,1.1798505783081055,72.2740478515625,10.0,0.5668795108795166,13,200,1
2610,0,2436624161,70.79103088378906,1.1798505783081055,178.30947875976562,10.0,0.5668795108795166,13,200,1
